iter	Passed	Remaining
0	136	13544
1	138	6795
2	140	4540
3	142	3412
4	143	2732
5	146	2296
6	148	1974
7	150	1727
8	152	1541
9	154	1393
10	159	1286
11	161	1182
12	164	1102
13	167	1029
14	170	963
15	172	907
16	184	902
17	194	885
18	203	868
19	206	824
20	208	783
21	211	750
22	218	731
23	226	715
24	228	684
25	234	666
26	238	644
27	242	623
28	247	606
29	250	584
30	254	566
31	256	544
32	258	524
33	260	506
34	263	489
35	265	471
36	267	455
37	270	440
38	272	426
39	279	418
40	281	405
41	283	391
42	285	378
43	288	366
44	292	357
45	294	345
46	296	334
47	300	325
48	304	316
49	306	306
50	307	295
51	309	286
52	312	277
53	316	269
54	317	259
55	319	250
56	321	242
57	322	233
58	325	225
59	329	219
60	332	212
61	334	205
62	337	198
63	342	192
64	343	185
65	345	178
66	347	171
67	350	165
68	353	158
69	355	152
70	357	145
71	359	139
72	364	134
73	366	128
74	368	122
75	370	117
76	374	111
77	377	106
78	379	100
79	381	95
80	386	90
81	389	85
82	391	80
83	393	75
84	398	70
85	401	65
86	404	60
87	406	55
88	409	50
89	412	45
90	413	40
91	415	36
92	418	31
93	420	26
94	423	22
95	425	17
96	427	13
97	430	8
98	432	4
99	435	0
